Started	Duration
13 Nov 17 13:15	11m:23s
13 Nov 17 13:00	9m:50s
13 Nov 17 11:22	9m:11s
10 Nov 17 13:05	9m:23s
10 Nov 17 12:53	10m:30s
10 Nov 17 10:44	9m:21s
09 Nov 17 14:02	10m:19s
09 Nov 17 13:03	12m:37s
07 Nov 17 13:53	15m:03s
06 Nov 17 18:04	10m:21s
06 Nov 17 15:50	10m:09s
06 Nov 17 13:44	10m:35s
06 Nov 17 13:32	12m:34s
06 Nov 17 11:07	20m:37s
06 Nov 17 10:34	32m:18s
06 Nov 17 09:31	29m:11s
03 Nov 17 17:23	31m:42s
03 Nov 17 16:32	35m:42s
03 Nov 17 15:55	12m:40s
03 Nov 17 09:42	10m:18s
02 Nov 17 17:03	11m:19s
02 Nov 17 16:30	15m:06s
02 Nov 17 16:15	14m:25s
30 Oct 17 14:13	10m:14s
30 Oct 17 14:02	10m:53s
30 Oct 17 13:49	11m:56s
30 Oct 17 12:45	11m:06s
30 Oct 17 10:37	12m:38s
23 Oct 17 12:39	11m:00s
23 Oct 17 12:27	12m:28s
23 Oct 17 11:23	12m:25s
23 Oct 17 09:59	10m:05s
20 Oct 17 17:19	10m:20s
20 Oct 17 16:54	12m:12s
20 Oct 17 16:40	11m:30s
19 Oct 17 16:36	10m:38s
19 Oct 17 14:20	15m:36s
19 Oct 17 13:18	14m:47s
19 Oct 17 13:02	14m:50s
19 Oct 17 12:45	16m:54s
16 Oct 17 10:44	10m:21s
16 Oct 17 10:32	11m:56s
12 Oct 17 16:19	10m:58s
12 Oct 17 15:58	12m:20s
12 Oct 17 15:44	13m:25s
09 Oct 17 16:39	11m:11s
03 Oct 17 17:01	11m:38s
03 Oct 17 15:59	11m:36s
02 Oct 17 16:07	10m:47s
02 Oct 17 15:54	12m:40s
28 Sep 17 12:35	10m:40s
28 Sep 17 12:22	11m:31s
28 Sep 17 11:49	10m:42s
28 Sep 17 11:39	10m:41s
26 Sep 17 16:56	12m:36s
26 Sep 17 16:38	12m:22s
26 Sep 17 13:15	12m:35s
26 Sep 17 10:03	11m:05s
25 Sep 17 17:16	11m:51s
